unifs_originalFP;unifs_consPDFN;var0;var1;formula
34;17;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O)))))
40;23;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
38;21;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
38;21;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
36;19;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
44;23;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
17;10;true;false;Conj (Neg (Var (S (O))), Var (O))
22;13;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
20;11;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
23;12;true;false;Conj (Neg (Var (S (O))), Neg (Neg (Var (O))))
25;14;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
33;18;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Conj (Var (O), Var (O))))
17;10;false;true;Conj (Neg (Var (O)), Var (S (O)))
20;11;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
18;9;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
23;12;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
24;11;false;_;Conj (Neg (Var (O)), Neg (Neg (Neg (Var (O)))))
28;15;false;false;Conj (Neg (Var (O)), Neg (Disj (Var (S (O)), Var (O))))
28;15;false;false;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (S (O)))))
26;13;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
28;15;false;true;Conj (Neg (Var (O)), Neg (Conj (Var (S (O)), Var (O))))
26;13;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
27;16;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
25;14;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
25;14;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
27;16;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
28;15;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
37;22;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
38;21;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O)))))
28;15;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
31;16;false;false;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (S (O)))))
29;14;false;_;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (O))))
38;21;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
37;22;false;true;Conj (Neg (Var (O)), Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O))))
24;15;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
22;13;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
24;15;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
22;13;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
32;19;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
32;19;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
30;17;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
22;13;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
20;11;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
25;14;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
28;15;true;true;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (S (O)))))
26;13;true;_;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
30;17;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
28;15;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
32;19;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
30;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
38;21;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
28;15;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
33;18;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
38;21;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;21;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
36;19;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
36;19;true;_;Conj (Conj (Var (O), Var (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
