unifs_originalLP;unifs_ecceLN;var0;var1;formula
45;45;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;44;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
42;41;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
60;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
57;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
45;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;33;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
50;39;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
52;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
60;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
57;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
57;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
54;41;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
45;37;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;33;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
54;41;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
26;23;true;false;Conj (Neg (Var (S (O))), Var (O))
26;23;false;true;Conj (Neg (Var (O)), Var (S (O)))
31;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
28;21;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
36;27;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
40;29;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
43;41;false;true;Conj (Neg (Var (O)), Neg (Conj (Var (S (O)), Var (O))))
43;41;false;false;Conj (Neg (Var (O)), Neg (Conj (Var (S (O)), Var (O))))
40;37;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
41;43;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
38;38;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
38;39;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
41;35;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
43;33;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
33;29;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
33;29;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
30;25;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
38;31;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
40;29;true;_;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
45;45;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
45;45;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
42;41;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
48;41;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
45;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;33;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
54;41;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
